MSA,Syrian,lang
 في يوم من الأيام، قرر أحمد أن يجرب وجبة جديدة في المطعم المحلي. عندما قرأ القائمة، وجد خيارًا يحتوي على لحم خنزير مملح. ولكنه تذكر أن تناول لحم الخنزير محرم في دينه. فقرر أن يطلب طبقًا آخر يحتوي على الدجاج والأرز بدلًا من ذلك. , بيوم من الأيام، أحمد قرر يجرب طبق جديد بالمطعم يلي بالحي. يوم قرأ المنيو، شاف خيار فيه لحم خنزير مملح. بس تذكر إنو أكل لحم الخنزير ممنوع بدينو. فقرر يطلب طبق تاني فيه دجاج ورز بدل هاد. ,Syrian
 في يوم مشمس، ذهب أحمد إلى المكتبة للدراسة. وجد مكاناً هادئاً بين الرفوف وبدأ بقراءة كتبه. بعد ساعات، انضمت إليه صديقته سارة لمساعدته. انتهى اليوم بنجاح حيث استطاع أحمد أن يفهم ويحل جميع المسائل الصعبة. , بيوم مشمس، راح أحمد عالمكتبة يدرس. لقى مكان هادي بين الرفوف وبلش يقرأ كتبو. بعد شوي، اجت صاحبتو سارة تساعدو. خلص النهار بنجاح وأحمد فهم وحل كل الأسئلة الصعبة. ,Syrian
" في يوم عاصف، احتاجت السيدة أمينة للذهاب إلى السوق بسرعة. وجدت صعوبة في إيقاف سيارة أجرة بسبب الأمطار الغزيرة. عندما اقتربت سيارة، صرخت قائلة: ""من فضلك، أسرع!"" وأخيرًا تمكنت من الوصول إلى وجهتها في الوقت المحدد. "," بيوم مطر كتير، كان لازم أمينة تروح على السوق بسرعة. ما كانت قادرة تلاقي تاكسي من ورا المطر الغزير. يوم ما وقفتلها تاكسي، صرخت: ""لو سمحت، بسرعة!"" وأخيراً قدرت توصل على المكان يلي بدها ياه بالوقت المناسب. ",Syrian
 كان تاناب ينتظر صديقه عند الساعة السابعة. وعندما وصل الشخص الآخر، بدأت بينهما محادثة مهمة. تحدثا عن مشروع مشترك كانا يخططان له. وفي نهاية اللقاء، اتفقا على الخطوات القادمة وودع كل منهما الآخر بحرارة. , كان تاناب عم يستنى رفيقو عند الساعة سبعة. لما وصل الشخص التاني، ابتدوا يحكوا بموضوع مهم. حكوا عن مشروع مشترك كانوا ناويين يشتغلوا عليه. وبنهاية اللقاء، اتفقوا على الخطوات يلي رح يعملوها وتودعوا بحماس. ,Syrian
 التكييف لا يعمل، فقرر أحمد الاتصال بالصيانة. وصل الفني وتبين أن العطل بسيط ويمكن إصلاحه. بعد ساعة من العمل، عاد التكييف للعمل بكفاءة. شعر أحمد بالارتياح وهو يستعد لقضاء باقي اليوم براحة. , المكيف ما عم يشتغل، فاتصل أحمد بالصيانة. الصياني إجا وشاف أنو العطل صغير وفينا نصلحو. بعد ساعة شغل، صار المكيف يشتغل منيح. أحمد حس بالراحة وصار جاهز ليقضي باقي اليوم برتاح. ,Syrian
 كانت تستيقظ مبكراً كل يوم اثنين لتحضير الفطور لعائلتها. تعد البيض المقلي والخبز الطازج مع الشاي الساخن. بعد الانتهاء من الفطور، تبدأ في ترتيب البيت والاهتمام بالحديقة. أنها هكذا كل يوم اثنين، تملأ البيت بالحب والدفء. , كل يوم اثنين بتصحى بكير تجهز الفطور لعيلتها. بتعمل بيض مقلي وخبز طازج وشاي حار. بعد ما تخلص الفطور، بتبلش ترتب البيت وتهتم بالحديقة. هيك هي كل يوم اثنين، بتحط الحب والدفا بالبيت. ,Syrian
" وصل محمد إلى المطار مبكرًا، وهو يحمل حقيبته بين يديه. سمع صوت المذيع يطلب منه التوجه إلى قاعة المغادرة الدولية. ودع أصدقائه قائلًا: ""من فضلك اذهب على قاعة المغادرة الدولية، أتمنى لك رحلة سعيدة"". صعد إلى الطائرة متطلعًا إلى مغامرته الجديدة بكل حماس. "," وصل محمد عالمطار بكير ومعو شنتتو بإيدو. سمع صوت المذيع عم يطلب منو يتجه لقاعة المغادرة الدولية. ودع أصحابو وقلن: ""تفضلو على قاعة المغادرة الدولية، بتمنالكم رحلة سعيدة"". طلع عالطيارة وعيونو عم تبرق بالحماس للمغامرة الجديدة. ",Syrian
" كان أحمد يرغب في زيارة باريس لمشاهدة برج إيفل. فسأل وكيل السفر: ""هل لديك أية رحلات إلى باريس عبر قطار يوروستار؟"" وكيل السفر أكد له أن هناك رحلة متاحة الأسبوع المقبل. أحمد حجز تذكرته وتحمس للغاية لبدء مغامرته. "," أحمد كان ناوي يروح على باريس ليشوف برج إيفل. سأل الوكيل: ""في عندكن رحلات على باريس بقطار يوروستار؟"" الوكيل قللو في رحلة موجودة الأسبوع الجاي. أحمد حجز تذكرتو وصار متحمس كتير للسفرة. ",Syrian
 كانت ساعة سيكو رقمية هدية من جدي. كل يوم، كانت تذكرني بالأوقات الجميلة التي قضيتها معه. ذات يوم، ضاعت الساعة وشعرت بحزن عميق. بعد البحث المتواصل، وجدتها تحت السرير، فعادت لي الذكريات السعيدة. , ساعتي السيكو الرقمية كانت هدية من جدي. كل يوم، كانت تذكرني بالأوقات الحلوة يلي قضيتها معو. في يوم من الأيام، ضاعت الساعة وحسيت بحزن كبير. بعد ما دورت كتير، لقيتها تحت السرير ورجعتلي الذكريات الحلوة. ,Syrian
 لقد أحضرت الشهادة الطبية لطبيبي من اليابان. وعندما رآها، بدا معجبًا بالدقة والاحترافية التي كُتبت بها. ثم قرر أن يعتمد هذه الطريقة في عيادته. ومع الوقت، أصبحت العيادة مثالاً يُحتذى به في المدينة. , جبت الشهادة الطبية لدكتوري من اليابان. ولما شافها، انبهر بالدقة والاحترافية يلي انكتبت فيها. من بعدها قرر يتبنى هالطريقة بعيادته. ومع الأيام، صارت العيادة مثال يُقتدى فيه بالمدينة. ,Syrian
 ذهب محمد إلى المستشفى ليستلم فواتير علاجه الطبي. سأل الطبيب إذا ما كانت الفواتير تشمل كل التفاصيل. أكد الطبيب أن كل شيء موثق بدقة. شعر محمد بالارتياح لأنه سيتمكن من تقديم الوثائق لشركة التأمين. , محمد راح عالمشفى ليستلم فواتير العلاج تبعو. سأل الدكتور إذا كانت الفواتير فيها كل التفاصيل. الدكتور أكدلو إنو كل شي موثق بالزبط. محمد حس براحة لأنو رح يقدر يورجي الأوراق لشركة التأمين. ,Syrian
 كان أحمد يبحث عن قاموس جيب في المكتبة ليساعده في دراسته للغة الإنجليزية. وجد واحدًا مناسبًا، فقد كان صغيرًا وعمليًا. دفع ثمن القاموس وشعر بسعادة لأنه سيكون مفيدًا في رحلته القادمة. استعمله كل يوم وتحسنت لغته الإنجليزية بشكل ملحوظ. , أحمد كان عم يدور على قاموس جيب بالمكتبة ليساعده بدراستو للإنكليزي. لقى واحد منيح، صغير وعملي. دفع مصاري وفرح لأنو رح يستفيد منو بسفرتو الجاي. استخدمو كل يوم وتحسنت لغتو الإنكليزية كتير. ,Syrian
 حسناً، أنا لا أعلم ماذا حدث بالضبط، ولكن يبدو أن القط قد تسلق الشجرة ولم يستطع النزول. استدعينا رجال الإطفاء لمساعدته. وبعد جهود حثيثة، تمكنوا من إنقاذه. شكرتهم كثيرًا لأنهم أعادوا القط إلى أرض الأمان. , طيب، أنا ما بعرف شو صار بالضبط، بس شكلها القطة طلعت على الشجرة وما قدرت تنزل. استدعينا رجال الإطفاء ليساعدوها. وبعد جهد جهيد، قدروا ينقذوها. شكرتهم كتير لأنهم رجعوا القطة للأمان. ,Syrian
 مبروك، علمت أنه قد تم ترقيتك إلى نائب رئيس. في يوم الترقية، استعد خالد بكل حماس ليذهب إلى العمل. وعند وصوله، استقبله زملاؤه بالتصفيق والتهاني. شعر بالفخر والسعادة لهذا الإنجاز، وعزم على مواصلة العمل بجد وإخلاص. , مبروك، سمعت إنك ترقيت لمساعد الرئيس. بيوم الترقية، خليل استعد بكل حماس ليروح على شغله. لما وصل، زملاؤه استقبلوه بتصفيق ومباركات. حس بالفخر والفرح لهالإنجاز، وقرر يكمل شغله بجهد ووفاء. ,Syrian
 مساء بعد غد، سيعقد القرية احتفالاً كبيراً يشمل الألعاب النارية والرقص. وسيجتمع الناس من كل أنحاء المنطقة لمشاركة الفرح والمأكولات التقليدية. ستقدم الفرق الموسيقية عروضاً حية، وستكون الموسيقى ساحرة تملأ الأجواء. وبينما تغرب الشمس، ستضاء السماء بألوان الألعاب النارية، معلنة نهاية يوم لا يُنسى. , مسا بعد بكرا، القرية رح تعمل عيد كبير فيه الألعاب النارية والرقص. الناس رح يجوا من كل المناطق ليشاركوا الفرح وياكلوا الأكل التراثي. الفرق الموسيقية رح تقدم عروض حية، والموسيقى رح تكون ساحرة تملي الأجواء. ولما تغرب الشمس، السما رح تنور بألوان الألعاب النارية، وتعلن نهاية يوم ما بينتسى. ,Syrian
 في جنوب اليابان حيث البحار الدافئة، يوجد صياد قديم يعيش وحيدًا في بيت صغير. كل صباح، يأخذ قاربه الخشبي الصغير ويبحر بحثًا عن الأسماك. يتميز بالصبر والهدوء، ويعتبر البحر صديقه الوحيد. في المساء، يعود إلى قريته حاملاً ما اصطاده، ويشارك قصص البحر مع الأطفال. , بجنوب اليابان وين البحر دافي، في صياد عجوز عايش لحالو ببيت صغير. كل صبح، بياخد قاربو الخشبي الصغير وبيطلع عالبحر يدور على السمك. بيتصف بالصبر والهدوء، وبشوف البحر صاحبو الوحيد. بالمسا، بيرجع على قريتو معبي شبكتو باللي صاد، وبيقلل الأولاد حكايات البحر. ,Syrian
 اشترى أحمد تذكرة ذهاب وعودة إلى شيكاغو لحضور مؤتمر علمي. وصل إلى المدينة واستمتع بزيارة المعالم الشهيرة. التقى هناك بباحثين من مختلف دول العالم. عاد إلى وطنه مليئاً بالأفكار والخبرات الجديدة. , أحمد اشترى تذكرة ذهاب وعودة لشيكاغو ليشارك بمؤتمر علمي. وصل على المدينة واستمتع بزيارة أهم الأماكن. تعرف على علماء من كل العالم. رجع لبلده معبى بالأفكار والتجارب الجديدة. ,Syrian
 في يوم من الأيام، قرر أحمد أن يجرب وجبة جديدة في المطعم المحلي. عندما قرأ القائمة، وجد خيارًا يحتوي على لحم خنزير مملح. ولكنه تذكر أن تناول لحم الخنزير محرم في دينه. فقرر أن يطلب طبقًا آخر يحتوي على الدجاج والأرز بدلًا من ذلك. , بيوم من الأيام، أحمد قرر يجرب طبق جديد بالمطعم يلي بالحي. يوم قرأ المنيو، شاف خيار فيه لحم خنزير مملح. بس تذكر إنو أكل لحم الخنزير ممنوع بدينو. فقرر يطلب طبق تاني فيه دجاج ورز بدل هاد. ,Syrian
 في يوم مشمس، ذهب أحمد إلى المكتبة للدراسة. وجد مكاناً هادئاً بين الرفوف وبدأ بقراءة كتبه. بعد ساعات، انضمت إليه صديقته سارة لمساعدته. انتهى اليوم بنجاح حيث استطاع أحمد أن يفهم ويحل جميع المسائل الصعبة. , بيوم مشمس، راح أحمد عالمكتبة يدرس. لقى مكان هادي بين الرفوف وبلش يقرأ كتبو. بعد شوي، اجت صاحبتو سارة تساعدو. خلص النهار بنجاح وأحمد فهم وحل كل الأسئلة الصعبة. ,Syrian
" في يوم عاصف، احتاجت السيدة أمينة للذهاب إلى السوق بسرعة. وجدت صعوبة في إيقاف سيارة أجرة بسبب الأمطار الغزيرة. عندما اقتربت سيارة، صرخت قائلة: ""من فضلك، أسرع!"" وأخيرًا تمكنت من الوصول إلى وجهتها في الوقت المحدد. "," بيوم مطر كتير، كان لازم أمينة تروح على السوق بسرعة. ما كانت قادرة تلاقي تاكسي من ورا المطر الغزير. يوم ما وقفتلها تاكسي، صرخت: ""لو سمحت، بسرعة!"" وأخيراً قدرت توصل على المكان يلي بدها ياه بالوقت المناسب. ",Syrian
 كان تاناب ينتظر صديقه عند الساعة السابعة. وعندما وصل الشخص الآخر، بدأت بينهما محادثة مهمة. تحدثا عن مشروع مشترك كانا يخططان له. وفي نهاية اللقاء، اتفقا على الخطوات القادمة وودع كل منهما الآخر بحرارة. , كان تاناب عم يستنى رفيقو عند الساعة سبعة. لما وصل الشخص التاني، ابتدوا يحكوا بموضوع مهم. حكوا عن مشروع مشترك كانوا ناويين يشتغلوا عليه. وبنهاية اللقاء، اتفقوا على الخطوات يلي رح يعملوها وتودعوا بحماس. ,Syrian
 التكييف لا يعمل، فقرر أحمد الاتصال بالصيانة. وصل الفني وتبين أن العطل بسيط ويمكن إصلاحه. بعد ساعة من العمل، عاد التكييف للعمل بكفاءة. شعر أحمد بالارتياح وهو يستعد لقضاء باقي اليوم براحة. , المكيف ما عم يشتغل، فاتصل أحمد بالصيانة. الصياني إجا وشاف أنو العطل صغير وفينا نصلحو. بعد ساعة شغل، صار المكيف يشتغل منيح. أحمد حس بالراحة وصار جاهز ليقضي باقي اليوم برتاح. ,Syrian
 كانت تستيقظ مبكراً كل يوم اثنين لتحضير الفطور لعائلتها. تعد البيض المقلي والخبز الطازج مع الشاي الساخن. بعد الانتهاء من الفطور، تبدأ في ترتيب البيت والاهتمام بالحديقة. أنها هكذا كل يوم اثنين، تملأ البيت بالحب والدفء. , كل يوم اثنين بتصحى بكير تجهز الفطور لعيلتها. بتعمل بيض مقلي وخبز طازج وشاي حار. بعد ما تخلص الفطور، بتبلش ترتب البيت وتهتم بالحديقة. هيك هي كل يوم اثنين، بتحط الحب والدفا بالبيت. ,Syrian
" وصل محمد إلى المطار مبكرًا، وهو يحمل حقيبته بين يديه. سمع صوت المذيع يطلب منه التوجه إلى قاعة المغادرة الدولية. ودع أصدقائه قائلًا: ""من فضلك اذهب على قاعة المغادرة الدولية، أتمنى لك رحلة سعيدة"". صعد إلى الطائرة متطلعًا إلى مغامرته الجديدة بكل حماس. "," وصل محمد عالمطار بكير ومعو شنتتو بإيدو. سمع صوت المذيع عم يطلب منو يتجه لقاعة المغادرة الدولية. ودع أصحابو وقلن: ""تفضلو على قاعة المغادرة الدولية، بتمنالكم رحلة سعيدة"". طلع عالطيارة وعيونو عم تبرق بالحماس للمغامرة الجديدة. ",Syrian
" كان أحمد يرغب في زيارة باريس لمشاهدة برج إيفل. فسأل وكيل السفر: ""هل لديك أية رحلات إلى باريس عبر قطار يوروستار؟"" وكيل السفر أكد له أن هناك رحلة متاحة الأسبوع المقبل. أحمد حجز تذكرته وتحمس للغاية لبدء مغامرته. "," أحمد كان ناوي يروح على باريس ليشوف برج إيفل. سأل الوكيل: ""في عندكن رحلات على باريس بقطار يوروستار؟"" الوكيل قللو في رحلة موجودة الأسبوع الجاي. أحمد حجز تذكرتو وصار متحمس كتير للسفرة. ",Syrian
 كانت ساعة سيكو رقمية هدية من جدي. كل يوم، كانت تذكرني بالأوقات الجميلة التي قضيتها معه. ذات يوم، ضاعت الساعة وشعرت بحزن عميق. بعد البحث المتواصل، وجدتها تحت السرير، فعادت لي الذكريات السعيدة. , ساعتي السيكو الرقمية كانت هدية من جدي. كل يوم، كانت تذكرني بالأوقات الحلوة يلي قضيتها معو. في يوم من الأيام، ضاعت الساعة وحسيت بحزن كبير. بعد ما دورت كتير، لقيتها تحت السرير ورجعتلي الذكريات الحلوة. ,Syrian
 لقد أحضرت الشهادة الطبية لطبيبي من اليابان. وعندما رآها، بدا معجبًا بالدقة والاحترافية التي كُتبت بها. ثم قرر أن يعتمد هذه الطريقة في عيادته. ومع الوقت، أصبحت العيادة مثالاً يُحتذى به في المدينة. , جبت الشهادة الطبية لدكتوري من اليابان. ولما شافها، انبهر بالدقة والاحترافية يلي انكتبت فيها. من بعدها قرر يتبنى هالطريقة بعيادته. ومع الأيام، صارت العيادة مثال يُقتدى فيه بالمدينة. ,Syrian
 في الطائرة المتجهة إلى بيروت، قرر ماجد تصفح مجلة الرحلة. وجد فيها قائمة المشروبات، واختار عصير البرتقال. جاءت المضيفة مبتسمة لتقدم له الشراب مع وجبة الغداء. شعر ماجد بالرضا وهو يتناول طعامه ويتأمل السحاب خارج النافذة. , بالطيارة يللي عم تروح على بيروت، ماجد فتح مجلة الرحلة ليقرا. لقى قائمة المشروبات واختار عصير برتقال. المضيفة جاتلا بابتسامة وقدمتلو الشراب مع الغدا. ماجد حس بالراحة وهو عم ياكل وعم يتأمل الغيوم من الشباك. ,Syrian
" في يوم من الأيام، سأل الطفل الغريب العجوز في الحديقة: ""هل تعيش بالقرب من هنا؟"" فأجاب العجوز بابتسامة عريضة ودعا الطفل لزيارته في منزله الصغير الذي يقع خلف الحديقة مباشرة. ومنذ ذلك اليوم، أصبح الطفل يزور العجوز يومياً، وتعلم الكثير من حكاياته وخبراته. تحولت الصداقة بينهما إلى قصة ملهمة لجميع سكان الحي. "," مرة، سأل الصبي الشيخ اللي قاعد بالحديقة: ""عمو، إنت ساكن قريب من هون؟"" الشيخ ابتسم وعزم الصبي يزورو ببيتو الصغير يلي ورا الحديقة مباشرة. من وقتها، الصبي صار يعيط عالشيخ كل يوم، وتعلم كتير من حكاياتو وخبراتو. الصداقة بيناتهم صارت قصة ملهمة لكل اللي بالحارة. ",Syrian
" كان أحمد يملك متجر هدايا صغير وأراد أن يرسل بعض المنتجات إلى اليابان. تحدث مع شركة الشحن وسألهم: ""هل يمكنك أن ترسلها إلى اليابان؟"" وافقت الشركة وأخبرته بكافة الإجراءات اللازمة. بعد أيام قليلة، تلقى أحمد تأكيدًا بأن الهدايا وصلت إلى اليابان بسلام. "," كان أحمد عندو محل صغير للهدايا وبدو يرسل شوية منتجات عاليابان. حكى مع شركة الشحن وقللهم: ""فيكن تبعتوها لليابان؟"" الشركة وافقت وقلتلو شو لازم يعمل. بعد كم يوم، أحمد استلم رسالة تؤكد إنو الهدايا وصلت لليابان بالسلامة. ",Syrian
 ذهب يوسف إلى المول ليبحث عن محل الهدايا. وجده بعد بحث طويل في الطابق الثاني. اشترى هدية لأخته وكانت سعيدة جداً بها. عاد إلى البيت مسروراً بما اختار. , يوسف راح عالمول يدور على محل الهدايا. لقاه بعد ما دور كتير بالطابق التاني. اشترى هدية لأختو وكتير فرحت فيها. رجع عالبيت مبسوط باللي اختار. ,Syrian
 وافقت نورا على الالتقاء بصديقها يوم الجمعة. وعندما جاء ذلك اليوم، استيقظت مبكرًا وأعدت نفسها للخروج. ولكنها تلقت رسالة من صديقها يعتذر فيها عن التأخير. فقررت نورا أن تستغل الوقت في قراءة كتابها المفضل. , نورا موافقة تقابل صديقها يوم الجمعة. يومها، صحيت بكير وجهزت حالها للطلعة. بس استلمت مسج منو بيعتذر عن التأخير. فقررت نورا تستفيد من الوقت وتقرأ كتابها يلي بتحبو. ,Syrian
 حسنا، دعني أتثبت من المفقود والموجود. أي نوع من الكاميرات هي؟ فتح الدرج ليجد أن الكاميرا القديمة قد اختفت. تذكر أنه رآها آخر مرة على الطاولة بجانب النافذة. بحث في كل زاوية من المنزل، شعر بالقلق. في النهاية، وجدها مخبأة تحت كومة من الكتب القديمة. , طيب، خليني شوف شو اللي ناقص وشو الموجود. شو نوع الكاميرات هي؟ فتح الدرج ليلاقي إنو الكاميرا العتيقة اختفت. تذكر إنو شافها آخر مرة على الطاولة جنب الشباك. دور بكل زاوية بالبيت، حس بقلق. آخر شي، لقاها مخباية تحت كومة من الكتب القديمة. ,Syrian
 أنا أسف جدا، نحن نجهز لك الغرفة التي طلبتها. لقد وصل الرجل متأخراً إلى الفندق بسبب عطل في سيارته. بعد اعتذار موظف الاستقبال، أخبره أن الغرفة ستكون جاهزة بعد دقائق. شعر الرجل بارتياح لأن الخدمة كانت سريعة وكفؤة. أخيراً، استراح في غرفته متأملاً جمال الإطلالة من النافذة. , أنا آسف كتير، نحنا عم نجهزلك الغرفة يلي طلبتها. الرجال وصل متأخر على الفندق بسبب عطل بالسيارة تبعتو. بعد ما عتذر موظف الاستقبال، قللو إنو الغرفة رح تكون جاهزة بعد شوي. الرجال حس بارتياح لأن الخدمة كانت سريعة وكفو. بالآخر، رتاح بغرفتو وهوي عم يتأمل المنظر الحلو من الشباك. ,Syrian
 وجدت أحمد خريطة قديمة في السوق، وسأل البائع إذا يمكنه الاحتفاظ بها. أظهرت الخريطة محطات مترو الأنفاق ومحطات الحافلات بوضوح. أخبره البائع أن الخريطة تعود لزمن كانت المدينة في أوج عمرانها. شعر أحمد بشغف لاكتشاف تاريخ المدينة من خلال هذه الخريطة. , لقى أحمد خريطة قديمة بالسوق، وسأل البياع إذا فيو ياخدها. الخريطة كانت واضحة فيها محطات المترو ومحطات الباصات. قللو البياع إنو الخريطة من وقت كانت المدينة عم تزدهر. حس أحمد بحماسة ليكتشف تاريخ المدينة من خلال هالخريطة. ,Syrian
 آه لقد فقدت شبزوكي. بدأت البحث عنه في كل مكان، ولكن دون جدوى. شعرت بالحزن الشديد لأنه كان صديقي المفضل. في النهاية، وجدته يختبئ في الحديقة وكانت سعادتي لا توصف. , آه لقديت شبزوكي. صرت دور عليه بكل مكان، بس ما لقيتو. صرت زعلان كتير لأنو كان صاحبي المفضل. آخر شي، لقيتو مخبى بالحديقة وفرحتي ما عم بتوصف. ,Syrian
 كنت أسير على الطريق الرئيسي بجانب خليج موروا عندما شاهدتُ غروب الشمس الساحر. فجأة، لمحتُ قارب صيد قديم يقترب من الشاطئ. اقتربتُ لألقي نظرة أفضل ووجدتُ رجلاً عجوزاً يحكي قصص البحار. قضيتُ الساعات القادمة أستمع إلى حكاياته المثيرة وأتأمل جمال الطبيعة المحيطة. , كنت ماشي عالطريق الأساسي جنب خليج موروا وشفت الغروب شو حلو. فجأة، لمحت مركب صيد قديم عم يتقرب من الشاطئ. قربت لحتى شوف منيح ولقيت شايب عم يحكي حكايات البحر. قعدت ساعات بسمع لقصصو الممتعة وعم طالع على جمال الطبيعة يللي حوالينا. ,Syrian
