MSA,Egyptian,lang
 كان هناك رجل جائع يسأل عن سعر وجبة الإفطار. فأخبره النادل أن الإفطار يكلف عشرة دنانير. شعر الرجل بالسعادة لأن السعر كان في متناوله. وبعد الإفطار، شكر الرجل النادل وانصرف وهو يشعر بالرضا. , كان فيه واحد جعان سأل عن سعر الفطار. الجرسون قاله إن الفطار بعشرة جنيه. الراجل فرح عشان السعر كان كويس له. وبعد ما فطر، شكر الراجل الجرسون ومشي مبسوط. ,Egyptian
" كان هناك شاب يعمل في مكتب الاستعلامات. جاءت سيدة تبدو محتارة فسألها: ""كيف أستطيع مساعدتك؟"" فأجابت السيدة بأنها تبحث عن مكتب الضرائب. ابتسم الشاب وأرشدها إلى المكان المطلوب بكل أدب واحترام. "," كان في واد شغال في مكتب استعلامات. واحدة ست جتله وهي مش عارفة تعمل إيه فسألها: ""أقدر أساعدك إزاي؟"" الست قالتله إنها بتدور على مكتب الضرايب. الواد ابتسم وقالها تروح فين بكل زوق واحترام. ",Egyptian
 دعنا نأخذ قطعة لنأكلها. ذهب محمد وعلي إلى الحديقة واختارا أجمل تفاحة. قسماها بينهما واستمتعا بطعمها اللذيذ. جلسا تحت الشجرة يتحدثان عن أحلامهم. وتمنيا لو أن كل يوم يمكن أن يكون بهذه البساطة والسعادة. , يالا ناخد حتة ناكلها. محمد وعلي راحوا الجنينة واختاروا أحلى تفاحة. قسموها مع بعض واستمتعوا بطعمها الحلو. قعدوا تحت الشجرة يتكلموا عن أحلامهم. واتمنوا لو كل يوم يقدر يبقى بالبساطة والفرحة دي. ,Egyptian
 في يوم مشمس، قرر خالد الخروج للتنزه في المدينة. اتجه يسارًا عند الناصية الثالثة حيث وجد متجرًا قديمًا لبيع الكتب. دخل المتجر وقضى ساعات يتصفح الكتب النادرة. وفي النهاية، اشترى كتابًا قديمًا يحكي عن تاريخ المدينة. , في يوم مشمس، خالد قرر يخرج يتفسح في المدينة. راح شمال عند الناصية التالتة ولقى محل كتب قديم. دخل جوه المحل وقعد ساعات يقلب في الكتب العتيقة. وفي الآخر، اشترى كتاب قديم بيحكي عن تاريخ المدينة. ,Egyptian
" لم يكن لدى أحمد غير قميص واحد للحفل، فسأل والدته: ""هل لك أن تقوم بتنظيف هذه الملابس؟"" وافقت والدته بحنان وأخذت الملابس لتنظفها. بعد ساعات، عادت الملابس ناصعة كأنها جديدة. شعر أحمد بالامتنان ووعد بأن يعتني بملابسه أكثر في المستقبل. "," أحمد مكنش عنده غير قميص واحد للحفلة، فقال لأمه: ""ممكن تغسليلي الهدوم دي؟"" أمه وافقت بحب وخدت الهدوم تغسلها. بعد شوية، رجعت الهدوم نضيفة قوي كأنها جديدة. أحمد حس بالامتنان وحلف إنه هيخلي باله من هدومه أكتر بعدين. ",Egyptian
 في يوم مشمس، قرر أحمد أن يبحث عن صديق قديم. وجد في دفتره العنوان ورقم الهاتف الذي كان يبحث عنه. لم يتردد في الاتصال وسأل إن كان بإمكانه زيارته، فأعطيك رقم تليفونه وعنوانه. وعندما التقيا، أمضيا وقتًا ممتعًا يستعيدان ذكريات الماضي. , في يوم جميل وشمسي، أحمد قرر يدور على صاحبه القديم. لقى في الأجندة بتاعته العنوان ورقم التليفون اللي كان محتاجه. مترددش واتصل بيه وسأله لو ينفع يزوره، وراح أعطيك رقم تليفونه وعنوانه. ولما اتقابلوا، قضوا وقت حلو بيتكلموا عن الأيام الزمان. ,Egyptian
 لقد قمت بتسديد ثمن الوجبات ورسوم الفندق مقدماً. وعند وصولي إلى الفندق، استقبلني الموظفون بحفاوة بالغة. أخذت مفتاح غرفتي وصعدت إلى الطابق الخامس حيث الإطلالة الساحرة على البحر. قضيت وقتاً ممتعاً في الفندق حيث الخدمات المتميزة والجو الودي. , أنا دفعت فلوس الأكل والفندق مقدماً. ولما وصلت للفندق، الناس هناك استقبلوني بحب كبير. خدت مفتاح الأوضة وطلعت على الدور الخامس اللي فيه النظرة الحلوة على البحر. قضيت أحلى وقت في الفندق اللي فيه خدمة فوق الوصف وناس طيبين. ,Egyptian
 في يوم مشمس، قرر محمد أن يبحث عن مطعم للمشويات يحظى بشعبية كبيرة. وبينما هو يتجول في الشوارع، التقى صديقه أحمد الذي أوصى بمطعم ممتاز. أخرج محمد هاتفه وبدأ يبحث عن المطعم على الخريطة. وجد المطعم بسهولة وتمتع بوجبة لذيذة لم ينساها أبدًا. , في يوم مشمس، محمد قرر يدور على مطعم مشويات معروف والناس بتحبه. وهو ماشي في الشارع، قابل صاحبه أحمد اللي قاله على مطعم جامد جدا. محمد طلع موبايله وشغل الخريطة علشان يلاقي المطعم. لقى المطعم بسهولة واستمتع بأكلة مش هينساها أبدا. ,Egyptian
 كان أحمد قد اشترى مزهرية جميلة ليزين بها منزله. لكن بينما كان يحاول ترتيبها على الرف، اختل توازنه وتسبب في سقوطها. أنت تقوم بكسرها، فأنت الذي اشتريتها، قالت زوجته وهي تنظر إلى القطع المتناثرة. شعر أحمد بالحزن لفقدان الجمال الذي كانت تضفيه المزهرية على المكان. , أحمد كان جاب فازة حلوة علشان يحطها في البيت. وهو بيدورها على الرف، وقع منه واتكسرت. أنت اللي كسرتها، أنت اللي جبتها، قالتله مراته وهي بتبص للفتافيت على الأرض. أحمد حس بالزعل على الجمال اللي راح بتكسير الفازة. ,Egyptian
 سوف أخبرها بأن تتصل بك بمجرد أن تصل. وبالفعل، بعد وصولها مباشرة، رنّ هاتفك. كان صوتها مليئًا بالحماس عندما أخبرتك عن الأخبار السارة. اتفقتما على الاحتفال بالمناسبة السعيدة مساءً. , هاقولها تكلمك أول ما توصل. وفعلاً، أول ما وصلت رنّ تليفونك. سمعت صوتها وهي مبسوطة وبتقولك على الخبر الحلو. واتفقتوا تحتفلوا بالمناسبة دي بالليل. ,Egyptian
 جاد حب دائمًا أن يضع قشدة وسكر في قهوته. ذات صباح، وجد أن القشدة قد نفدت. ذهب إلى السوق ليشتري بعضها، وفي طريقه التقى بأصدقاء قدامى. تحدثوا وضحكوا، ونسي جاد شراء القشدة تمامًا. , جاد بيحب دايماً يحط قشطة وسكر في قهوته. في يوم من الصبح، لقى إن القشطة خلصت. راح السوق يشتري شوية، وفي الطريق قابل شوية أصحاب قدام. اتكلموا وضحكوا، وجاد نسي يشتري القشطة خالص. ,Egyptian
 ذهبت فاطمة للعب الكرة مع أصدقائها. لقد أصيبت إصابة بالغة أثناء اللعب. نقلها الجميع على الفور إلى المستشفى. بعد العلاج، تمكنت من الشفاء بسرعة. , فاطمة كانت بتلعب كورة مع صحابها. اتجرحت جرح كبير وهي بتلعب. الناس شالوها على طول وودوها المستشفى. بعد ما اتعالجت، رجعت زي الفل بسرعة. ,Egyptian
 كان هناك رجل يدعى أحمد كان يبحث عن قداحة لإشعال شمعة في ليلة مظلمة. وجد أحمد قداحة مرمية على الأرض بجانب متجر صغير. بعد أن أشعل الشمعة، أدرك أحمد أن الضوء يجلب الأمل في أحلك الأوقات. ومنذ تلك اللحظة، أصبح يحتفظ دائماً بقداحة في جيبه ليكون مستعدًا لأي ظرف. , كان فيه واحد اسمه أحمد كان بيدور على ولاعة علشان يولع شمعة في ليلة ضلمة. لقى أحمد الولاعة مرمية على الأرض جنب دكان صغير. بعد ما ولع الشمعة، حس أحمد إن النور بيجيب الأمل في أوقات اليأس. ومن ساعتها، بقى دايمًا شايل ولاعة في جيبه علشان يكون جاهز لأي حاجة. ,Egyptian
 في يوم من الأيام، سأل رجل أعمال عن تجهيزات المؤتمرات في فندق معين. فأجابه الموظف بكل فخر أن الفندق مزود بأحدث التقنيات. قرر الرجل إقامة مؤتمره الدولي هناك. وفي النهاية، كان المؤتمر نجاحاً باهراً وأثنى الجميع على التنظيم والتجهيزات. , في يوم من الأيام، واحد راجل أعمال سأل عن المعدات بتاعة المؤتمرات في الفندق. الموظف قاله بفخر إن الفندق عنده أحدث الحاجات. الراجل قرر يعمل المؤتمر الدولي بتاعه هناك. وفِ الآخر، المؤتمر كان ناجح جداً والكل كان مبسوط بالترتيب والمعدات. ,Egyptian
" في أحد الأيام، سأل خالد صديقه عمر: ""هل من المناسب أن نتناول وجبة خفيفة؟"" فأجابه عمر بابتسامة: ""بالطبع، خصوصاً إذا كانت صحية."" ثم ذهبا معاً إلى المقهى المجاور وطلبا سلطة فواكه وعصير طازج. وبينما هما يتناولان وجبتهما، تبادلا الأحاديث والضحكات، فقد كان يوماً ممتعاً. "," في يوم من الأيام، خالد سأل صاحبه عمر: ""ما تعتقدش إنه ينفع ناكل سناك خفيف دلوقتي؟"" عمر ضحك وقاله: ""أكيد، خصوصًا لو كانت حاجة صحية يعني."" وبعدين راحوا الاتنين للقهوة اللي جنبهم وطلبوا سلطة فواكه وعصير فريش. وهما بياكلوا، كانوا بيتكلموا وبيضحكوا مع بعض، وكده اليوم بقى حلو أوي. ",Egyptian
" في طريقه إلى المطار، شعر أحمد بالتوتر. عندما وصل، اتصل بصديقه قائلاً: ""أنا أتصل من المطار. سأصل هناك في حوالي الساعة الرابعة."" وجد صديقه في انتظاره بابتسامة دافئة. معاً، توجها نحو المغامرة الجديدة. "," أحمد كان ماشي على المطار وقلبه مشغول. لما وصل هناك، طمن صاحبه وقاله: ""أنا بتصل دلوقتي من المطار. هكون عندك حوالي الساعة أربعة."" لقى صاحبه مستنيه وهو مبتسم. سوا، اتجهوا للمغامرة اللي جاية. ",Egyptian
 كان أحمد يسافر من نيويورك إلى لوس أنجلوس، وكان عليه أن يغير رحلته في شيكاغو. عندما وصل إلى مطار شيكاغو، وجد صديقا قديما بالصدفة. قضيا معاً بعض الوقت في تبادل الأخبار والذكريات. وبعد ساعات قليلة، استقل أحمد الطائرة مجدداً متجهاً إلى وجهته النهائية. , كان أحمد مسافر من نيويورك للوس أنجلوس، وكان لازم يعدي على شيكاغو في نص السكة. لما وصل لمطار شيكاغو، صادف صاحبه القديم صدفة. قعدوا سوا شوية يحكوا عن الأخبار ويفتكروا الذكريات. وبعد كام ساعة، ركب أحمد الطيارة تاني رايح لمحطته الأخيرة. ,Egyptian
 كان أحمد يريد إرسال خطاب مهم إلى صديقه في فرنسا. سأل الموظف في البريد عن تكلفة الإرسال المسجل. أخبره الموظف أن التكلفة ستكون عشرين ديناراً. دفع أحمد المبلغ وأرسل الخطاب، متمنياً أن يصل بسلام. , أحمد كان عايز يبعت جواب مهم لصاحبه في فرنسا. راح سأل اللي في البريد عن سعر الإرسال المسجل. قالوله إنها هتكلفه عشرين جنيه. دفع أحمد الفلوس وبعت الجواب، وهو داعي يوصل بالسلامة. ,Egyptian
 ذهب محمد إلى البنك ليصرف الشيك ذو المائتي دولار. واجه بعض التأخير بسبب الزحام الشديد. عندما جاء دوره، اكتشف أنه نسي بطاقته الشخصية في المنزل. اضطر للعودة دون أن يتمكن من صرف الشيك. , محمد راح البنك علشان يصرف الشيك بتاع ال٢٠٠ دولار. لقى زحمة جامدة خلته يستنى كتير. لما جه دوره، اكتشف إنه ناسي البطاقة في البيت. رجع بيته من غير ما يعرف يصرف الشيك. ,Egyptian
 كان أحمد يقود السيارة في بلد أجنبي لأول مرة، ووجد صعوبة في التأقلم مع القيادة على الجانب الأيمن. شعر بالتوتر كلما اقتربت منه سيارة، خاصة عند المنعطفات. تدريجيًا، بدأ يعتاد على الأمر وأصبح أكثر ثقة. في النهاية، استمتع بتجربة القيادة الجديدة وتعلم الكثير منها. , أحمد كان سايق العربية في بلد غريب لأول مرة، وحس بصعوبة وهو بيتعود على السواقة على الجانب اليمين. كان قلقان كل ما تيجي عربية جنبه، وخصوصًا لما يبقى في كورة. بالتدريج، بدأ يتأقلم وبقى أكتر ثقة في نفسه. وفي الآخر، أخد باله إنه استمتع بالسواقة الجديدة واتعلم حاجات كتير. ,Egyptian
 كان الممثل رائعا بالفعل. لقد حظي بتصفيق حار من الجمهور بعد انتهاء العرض. وفي الكواليس، انهالت عليه التهاني من زملائه. شعر بالفخر لأنه أتقن دوره بكل احترافية. , الممثل كان تحفة فعلا. الجمهور صقفله جامد بعد ما العرض خلص. وورا الستار، زمايله كلهم هنوه. حس بفخر جامد عشان عمل دوره صح. ,Egyptian
" كان يحيى دائماً يحلم بمغامرات خارقة ويتخيل نفسه بطلاً في عوالم موازية. في يوم من الأيام، سألته أمه بحنان: ""أين الجانب غير الخيالي في شخصيتك؟"". فكر يحيى طويلاً وقرر أن يجرب أنشطة جديدة وواقعية. بدأ بالتطوع في مأوى للحيوانات، وهناك اكتشف شغفه برعاية الآخرين. "," كان يحيى على طول بيحلم بمغامرات خرافية وشايف نفسه بطل في عوالم تانية. في يوم، أمه سألته بحب: ""فين الجانب الواقعي في شخصيتك؟"". يحيى قعد يفكر كتير وقرر يجرب حاجات جديدة وحقيقية. ابتدى يتطوع في ملجأ للحيوانات، وهناك لاقى حبه لرعاية الغير. ",Egyptian
 إذا حدث ذلك، من فضلك أتصل بي. في اليوم التالي، حدث ما كان متوقعًا ورن هاتفي. كان صوتها متوترًا على الخط الآخر. أخبرتني بأن الوقت قد حان لنتحرك ونتخذ القرارات الصعبة. بعد الاتصال، جمعت أغراضي وتوجهت نحو المجهول. , لو ده حصل، ياريت تكلمني. تاني يوم، اللي كنت متوقعه حصل وموبايلي رن. صوتها كان مضطرب على الخط التاني. قالتلي إن الوقت جه إننا نتحرك ونعمل القرارات الصعبة. بعد المكالمة، جمعت حاجاتي واتجهت للمجهول. ,Egyptian
" في يوم حار جداً، سأل راكب الحافلة السائق: ""هل يمكن أن تغير مقعدي من فضلك؟"" السائق، بلطف شديد، وافق وأوقف الحافلة ليساعده. وجد الراكب مقعداً بجانب النافذة وشعر بنسيم بارد. شكر الراكب السائق واستمتع برحلته الباقية بسلام وهدوء. "," في يوم حر جدًا، واحد من الركاب سأل سواق الأتوبيس: ""ممكن تغيرلي مكاني لو سمحت؟"" السواق، بأدب جامد، وافق ووقف الأتوبيس علشان يساعده. الراكب لاقى كرسي جنب الشباك وحس بنسمة هوا باردة. قال الراكب شكرًا للسواق واستمتع بالمشوار اللي فاضل بسكينة وراحة. ",Egyptian
" في يوم من الأيام، سأل تاجر شاب العجوز عن جودة السلعة قائلاً ""هل هناك ضمانًا؟"" فابتسم العجوز وأجابه بأن كل شيء في هذه الحياة مؤقت والضمان الوحيد هو التغيير. ولكنه أضاف أنه يثق في جودة بضاعته ويعد بإصلاح أي عيب قد يظهر. راق للشاب الفكرة وقرر أن يثق بكلمات العجوز ويشتري السلعة، فتعلم أن الثقة قد تكون أهم من أي ضمان مكتوب. "," في يوم من الأيام، واحد تاجر صغير سأل الشيخ على جودة الحاجة قاله ""هو فيه ضمان؟"" ضحك الشيخ وقاله إن كل حاجة في الدنيا دي مؤقتة والضمان الحقيقي هو التغيير يعني. بس قاله كمان إنه واثق في اللي بيبيعه وهيصلح أي حاجة تطلع فيها عيب. الشاب اقتنع بالكلام وقرر يثق في الشيخ ويشتري، وعرف إن الثقة ساعات بتبقى أهم من أي ورقة ضمان. ",Egyptian
 في يومٍ مشمسٍ، قرر محمد أن يعتني بالكلب الضائع الذي وجده في الحديقة. بدأ بإطعامه وتقديم الماء له بكل حنان. كل يوم، كان يأخذ الكلب في نزهةٍ طويلة ويلعب معه. شيئًا فشيئًا، نشأت بينهما صداقة قوية لا تُنسى. , في يوم مشمس، محمد قرر ياخد باله من الكلب الضايع اللي لقاه في الجنينة. بدأ يأكله ويديله ميه بكل حنية. كل يوم، كان بياخد الكلب في مشوار طويل ويلعب معاه. بالتدريج، بقوا أصحاب قويين مش هينسوا بعض. ,Egyptian
 أريد تذكرتين للقطار ليوم الخميس. فتحت ليلى حقيبتها لتتأكد من وجود المحفظة بها قبل الذهاب لشراء التذاكر. وجدت بين أغراضها صورة قديمة لها وهي طفلة تلعب على الشاطئ. تبسمت للذكريات الجميلة ثم واصلت طريقها إلى المحطة. , عايزة تذكرتين للقطر يوم الخميس. ليلى فتحت شنطتها عشان تتأكد إن المحفظة موجودة قبل ما تروح تشتري التذاكر. لقت صورة قديمة لما كانت صغيرة وبتلعب على البحر بين حاجاتها. ابتسمت للذكريات الحلوة دي وكملت طريقها للمحطة. ,Egyptian
" كان أحمد يبحث عن مقهى لقضاء وقت فراغه. سأل المارة: ""أين المقهى؟"" لكن لم يجبه أحد. وأخيرًا وجد مقهى صغيرًا في زاوية هادئة من الشارع. جلس وطلب كوبا من القهوة واستمتع بالهدوء. "," أحمد كان بيدور على قهوة علشان يقضي وقت فراغه. سأل الناس اللي ماشية: ""القهوة فين؟"" بس محدش رد عليه. أخيرًا لقى قهوة صغيرة في ناصية هادية كده في الشارع. قعد وطلب كوباية قهوة واستمتع بالسكون. ",Egyptian
 ذهب محمد إلى السوق ليشتري جاكيت لابنه. وجد واحدًا مناسبًا ولكن كان سعره مرتفعًا. قرر أن يتفاوض مع البائع. وأخيرًا، تمكن من الحصول عليه بسعر معقول. , محمد راح السوق علشان يجيب جاكيت لابنه. لقى واحد حلو بس غالي شوية. قام محمد يفاصل مع البياع. وفي الآخر، خده بسعر كويس. ,Egyptian
" في يومٍ مشمس، سأل الطفل العجوز جالساً على مقعد الحديقة: ""اسمك مرة ثانية؟"" فابتسم العجوز وأجاب بحنان: ""اسمي حسن، وأنت؟"" رد الطفل ببراءة: ""أنا يوسف، وأحب أن أستمع لقصصك."" ومنذ ذلك اليوم، أصبحا صديقين يشاركان القصص والضحكات. "," في يوم مشمس، الواد سأل الحاج اللي قاعد على الكرسي في الجنينة: ""اسمك إيه تاني؟"" الحاج ابتسم وقال بحنية: ""اسمي حسن، وإنت؟"" الواد رد ببراءة: ""أنا يوسف، وبحب أسمع حكاياتك."" ومن ساعتها، بقوا صحاب يحكوا لبعض الحكايات ويضحكوا. ",Egyptian
" في يوم مشمس، سألت جارتي أم أحمد عن السيد برون الذي يقطن بجانبنا. ""هل مستر برون هناك؟"" سألتها بفضول. ابتسمت أم أحمد وأجابت أن مستر برون غادر صباحاً لزيارة السوق. ومنذ ذلك الحين، أصبحت أم أحمد تحكي لي قصصاً عن أسفار مستر برون الشيقة. "," في يوم من الأيام المشمسة، سألت الجارة أم أحمد عن الأستاذ برون اللي ساكن جنبنا. ""هو مستر برون موجود؟"" سألتها كده من الفضول. ضحكت أم أحمد وقالتلي إن مستر برون راح السوق الصبح. ومن ساعتها وأم أحمد بتحكيلي حواديت عن رحلات مستر برون الجامدة. ",Egyptian
" في يوم مشمس، قررت ليلى شراء كتاب من الإنترنت. حينما استفسرت عن السعر، أخبرها البائع: ""حسنا، إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص"". فضلت ليلى خيار التوصيل الخاص لسرعته. وبعد ثلاثة أيام، استلمت ليلى الكتاب وبدأت في قراءته بحماس. "," في يوم من الأيام الحلوة، ليلى حبت تشتري كتاب من على النت. لما سألت على السعر، البياع قالها: ""طيب، هيكلفك خمسة وتمانين دولار لو هتاخديه بالبريد العادي وتلاتة دولار لو هتاخديه بالتوصيل السريع"". ليلى اختارت الشحن السريع عشان يجيلها بسرعة. وبعد تلات أيام، ليلى استلمت الكتاب واتحمست تقراه. ",Egyptian
