MSA,Lebanese,lang
 في يوم مشمس، قرر محمد أن يبحث عن مطعم للمشويات يحظى بشعبية كبيرة. وبينما هو يتجول في الشوارع، التقى صديقه أحمد الذي أوصى بمطعم ممتاز. أخرج محمد هاتفه وبدأ يبحث عن المطعم على الخريطة. وجد المطعم بسهولة وتمتع بوجبة لذيذة لم ينساها أبدًا. , بيوم مشمس، محمد قرر يدور على مطعم شوي معروف والناس بتحبو كتير. وهوي عم يتمشى بالشوارع، صادف صاحبو أحمد يللي نصحو بمطعم كتير منيح. محمد طلع موبايلو وبلش يدور عالمطعم عالخريطة. لقى المطعم بسرعة واستمتع بأكلة طيبة ما رح ينساها أبدا. ,Lebanese
 كان أحمد قد اشترى مزهرية جميلة ليزين بها منزله. لكن بينما كان يحاول ترتيبها على الرف، اختل توازنه وتسبب في سقوطها. أنت تقوم بكسرها، فأنت الذي اشتريتها، قالت زوجته وهي تنظر إلى القطع المتناثرة. شعر أحمد بالحزن لفقدان الجمال الذي كانت تضفيه المزهرية على المكان. , أحمد شرا مزهرية حلوة ليزين فيها البيت. بس وهوي عم يحاول يحطا عالرف، ضلع توازنو وصارت تتكسر. إنت يللي كسرتا، إنت يللي اشتريتا، قالت مرتو وهيي عم تطلع عالقطع المتبعثرة. حس أحمد بالحزن لأنو الجمال يللي كانت المزهرية عم تضيفو للمكان راح. ,Lebanese
 سوف أخبرها بأن تتصل بك بمجرد أن تصل. وبالفعل، بعد وصولها مباشرة، رنّ هاتفك. كان صوتها مليئًا بالحماس عندما أخبرتك عن الأخبار السارة. اتفقتما على الاحتفال بالمناسبة السعيدة مساءً. , رح قلّها تتصل فيك أول ما توصل. وفعلًا، ما وصلت على طول، رنّ جوالك. سمعت صوتها مبسوطة وعم تحكيلك عن الخبر الحلو. واتفقتو تعملو عشا للاحتفال بالليل. ,Lebanese
 جاد حب دائمًا أن يضع قشدة وسكر في قهوته. ذات صباح، وجد أن القشدة قد نفدت. ذهب إلى السوق ليشتري بعضها، وفي طريقه التقى بأصدقاء قدامى. تحدثوا وضحكوا، ونسي جاد شراء القشدة تمامًا. , جاد بحب دايمًا يضيف قشطة وسكر على قهوتو. بصباح يوم، لقى إنو القشطة خلصت. راح عالسوق يشتري كمان، وبالطريق التقى بأصحاب قدام. حكوا وضحكوا، وجاد نسي يشتري القشطة نهائيًا. ,Lebanese
 ذهبت فاطمة للعب الكرة مع أصدقائها. لقد أصيبت إصابة بالغة أثناء اللعب. نقلها الجميع على الفور إلى المستشفى. بعد العلاج، تمكنت من الشفاء بسرعة. , فاطمة راحت تلعب كرة مع رفقاتها. أصيبت بإصابة خطيرة وهيي عم تلعب. على طول نقلوها عالمستشفى كلن. بعد العلاج، فلّت بسرعة. ,Lebanese
 كان هناك رجل يدعى أحمد كان يبحث عن قداحة لإشعال شمعة في ليلة مظلمة. وجد أحمد قداحة مرمية على الأرض بجانب متجر صغير. بعد أن أشعل الشمعة، أدرك أحمد أن الضوء يجلب الأمل في أحلك الأوقات. ومنذ تلك اللحظة، أصبح يحتفظ دائماً بقداحة في جيبه ليكون مستعدًا لأي ظرف. , كان في واحد اسمو أحمد كان عم يدور ع ولاعة ليولع شمعة بليلة ظلمة. لقى أحمد الولاعة مرمية عالأرض حد محل صغير. بعد ما ولّع الشمعة، اكتشف أحمد إنو الضو بيجيب الأمل بأصعب الأوقات. ومن ديك اللحظة، صار دايمًا يحمل ولاعة بجيبو ليكون جاهز لأي ظرف. ,Lebanese
 في يوم من الأيام، سأل رجل أعمال عن تجهيزات المؤتمرات في فندق معين. فأجابه الموظف بكل فخر أن الفندق مزود بأحدث التقنيات. قرر الرجل إقامة مؤتمره الدولي هناك. وفي النهاية، كان المؤتمر نجاحاً باهراً وأثنى الجميع على التنظيم والتجهيزات. , في يوم من الأيام، رجل أعمال سأل عن معدات المؤتمرات بالفندق. الموظف جاوبو بفخر إنو الفندق مجهز بأحدث الأنظمة. الرجل قرر يعقد مؤتمره الدولي هونيك. وبالنهاية، المؤتمر كان ناجح كتير والكل مدح التنظيم والمعدات. ,Lebanese
" في أحد الأيام، سأل خالد صديقه عمر: ""هل من المناسب أن نتناول وجبة خفيفة؟"" فأجابه عمر بابتسامة: ""بالطبع، خصوصاً إذا كانت صحية."" ثم ذهبا معاً إلى المقهى المجاور وطلبا سلطة فواكه وعصير طازج. وبينما هما يتناولان وجبتهما، تبادلا الأحاديث والضحكات، فقد كان يوماً ممتعاً. "," بيوم من الأيام، خالد سأل رفيقو عمر: ""شو رأيك ناكل شي سناك خفيف هلق؟"" عمر ابتسم وقال: ""أكيد، خصوصاً إذا كان شي صحي."" وبعدين توجهوا سوا على الكافيه يلي جنبهم وطلبوا سلطة فواكه وعصير طازج. وهني عم ياكلو، حكو وضحكو مع بعض، وكان يوم حلو كتير. ",Lebanese
" في طريقه إلى المطار، شعر أحمد بالتوتر. عندما وصل، اتصل بصديقه قائلاً: ""أنا أتصل من المطار. سأصل هناك في حوالي الساعة الرابعة."" وجد صديقه في انتظاره بابتسامة دافئة. معاً، توجها نحو المغامرة الجديدة. "," أحمد كان متوتر وهوي عم بيروح ع المطار. وصل واتصل بصاحبو: ""أنا عم باتصل من المطار. رح وصل عندك تقريباً الساعة أربعة."" لقا صاحبو منطرلو بابتسامة حلوة. سوا، توجهوا للمغامرة يللي جايي. ",Lebanese
 كان أحمد يسافر من نيويورك إلى لوس أنجلوس، وكان عليه أن يغير رحلته في شيكاغو. عندما وصل إلى مطار شيكاغو، وجد صديقا قديما بالصدفة. قضيا معاً بعض الوقت في تبادل الأخبار والذكريات. وبعد ساعات قليلة، استقل أحمد الطائرة مجدداً متجهاً إلى وجهته النهائية. , كان أحمد عم يسافر من نيويورك للوس أنجلوس، ولازم يغير بشيكاغو. لما وصل ع مطار شيكاغو، صادف صديق قديم بالصدفة. قعدوا سوا شوي يحكوا عن الأخبار ويذكروا الذكريات. وبعد ساعات قليلة، ركب أحمد الطيارة من جديد متجه لمحطتو الأخيرة. ,Lebanese
 كان أحمد يريد إرسال خطاب مهم إلى صديقه في فرنسا. سأل الموظف في البريد عن تكلفة الإرسال المسجل. أخبره الموظف أن التكلفة ستكون عشرين ديناراً. دفع أحمد المبلغ وأرسل الخطاب، متمنياً أن يصل بسلام. , أحمد بدو يبعت رسالة مهمة لصاحبو بفرنسا. سأل الشب في البريد على كم بتكلف الإرسال المسجل. قلّو إنه بدو عشرين ليرة. دفع أحمد المصاري وبعت الرسالة، متمني توصل ع خير. ,Lebanese
 ذهب محمد إلى البنك ليصرف الشيك ذو المائتي دولار. واجه بعض التأخير بسبب الزحام الشديد. عندما جاء دوره، اكتشف أنه نسي بطاقته الشخصية في المنزل. اضطر للعودة دون أن يتمكن من صرف الشيك. , محمد راح عالبنك ليصرف شيكو يللي فيو ميةين دولار. صار فيه تأخير كبير من ورا الزحمة. يوم وصل دورو، طلع ناسي هويتو بالبيت. إضطر يرجع عالبيت من دون ما يقدر يصرف الشيك. ,Lebanese
 كان أحمد يقود السيارة في بلد أجنبي لأول مرة، ووجد صعوبة في التأقلم مع القيادة على الجانب الأيمن. شعر بالتوتر كلما اقتربت منه سيارة، خاصة عند المنعطفات. تدريجيًا، بدأ يعتاد على الأمر وأصبح أكثر ثقة. في النهاية، استمتع بتجربة القيادة الجديدة وتعلم الكثير منها. , أحمد كان عم يسوق السيارة ببلد غريب لأول مرة، وحس بصعوبة وهوي عم يتأقلم عالقيادة عالجهة اليمين. كان متوتر كل ما تقرب منّو سيارة، خصوصي عند المنعطفات. بالتدريج، صار يتعوّد عالوضع وصار أكتر ثقة بحالو. بالآخر، استمتع بتجربة السواقة الجديدة وتعلّم منها كتير. ,Lebanese
 كان الممثل رائعا بالفعل. لقد حظي بتصفيق حار من الجمهور بعد انتهاء العرض. وفي الكواليس، انهالت عليه التهاني من زملائه. شعر بالفخر لأنه أتقن دوره بكل احترافية. , الممثل كان رهيب حقيقي. الجمهور ضربلو تصفيق قوي لما خلص العرض. وورا الكواليس، زمايلو كلا باركولو. حس بفخر كبير لأنو أدا دورو بإحتراف. ,Lebanese
" كان يحيى دائماً يحلم بمغامرات خارقة ويتخيل نفسه بطلاً في عوالم موازية. في يوم من الأيام، سألته أمه بحنان: ""أين الجانب غير الخيالي في شخصيتك؟"". فكر يحيى طويلاً وقرر أن يجرب أنشطة جديدة وواقعية. بدأ بالتطوع في مأوى للحيوانات، وهناك اكتشف شغفه برعاية الآخرين. "," كان يحيى دايمًا عم يحلم بمغامرات خارقة ويتخيل حالو بطل بعوالم موازية. بيوم، سألتو إمو بحنية: ""وين الجانب الواقعي بشخصيتك؟"". يحيى فكر كتير وقرر يجرب نشاطات جديدة وواقعية. بلش يتطوع بمأوى الحيوانات، وهونيك اكتشف حبو لرعاية الأخرين. ",Lebanese
 إذا حدث ذلك، من فضلك أتصل بي. في اليوم التالي، حدث ما كان متوقعًا ورن هاتفي. كان صوتها متوترًا على الخط الآخر. أخبرتني بأن الوقت قد حان لنتحرك ونتخذ القرارات الصعبة. بعد الاتصال، جمعت أغراضي وتوجهت نحو المجهول. , إذا صار هيك، من فضلك إتصل فيي. تاني يوم، اللي كنت متوقع صار ورن تلفوني. صوتها كان متوتر عالخط التاني. قلتلي إنو وقت نتحرك وناخد القرارات الصعبة. بعد المكالمة، جمعت أغراضي وتوجهت للمجهول. ,Lebanese
" في يوم حار جداً، سأل راكب الحافلة السائق: ""هل يمكن أن تغير مقعدي من فضلك؟"" السائق، بلطف شديد، وافق وأوقف الحافلة ليساعده. وجد الراكب مقعداً بجانب النافذة وشعر بنسيم بارد. شكر الراكب السائق واستمتع برحلته الباقية بسلام وهدوء. "," بنهار حار كتير، واحد من الركاب سأل السواق: ""بتقدر تبدلي مقعدي، لو سمحت؟"" السواق، بكل ذوق، وافق ووقف الباص ليساعده. لقي الراكب مقعد عند الشباك وحس بنسيم بارد. شكر الراكب السواق واستمتع بباقي الرحلة بسلام وهدوء. ",Lebanese
" في يوم من الأيام، سأل تاجر شاب العجوز عن جودة السلعة قائلاً ""هل هناك ضمانًا؟"" فابتسم العجوز وأجابه بأن كل شيء في هذه الحياة مؤقت والضمان الوحيد هو التغيير. ولكنه أضاف أنه يثق في جودة بضاعته ويعد بإصلاح أي عيب قد يظهر. راق للشاب الفكرة وقرر أن يثق بكلمات العجوز ويشتري السلعة، فتعلم أن الثقة قد تكون أهم من أي ضمان مكتوب. "," بيوم من الأيام، تاجر صغير سأل العم عن جودة السلعة وقال ""في ضمان؟"" العم ضحك وقلّو إنو كل شي بالحياة مؤقت والضمان الوحيد هو التغيير. بس أضاف إنو واثق بجودة بضاعتو ورح يصلح أي عيب يطلع. الشاب حب الفكرة وقرر يأمن بكلام العم ويشتري السلعة، وتعلم إنو الثقة بتكون أهم من أي ضمان مكتوب. ",Lebanese
 في يومٍ مشمسٍ، قرر محمد أن يعتني بالكلب الضائع الذي وجده في الحديقة. بدأ بإطعامه وتقديم الماء له بكل حنان. كل يوم، كان يأخذ الكلب في نزهةٍ طويلة ويلعب معه. شيئًا فشيئًا، نشأت بينهما صداقة قوية لا تُنسى. , بيوم مشمس، محمد قرر ياخد بالو من الكلب يللي لقاه ضايع بالحديقة. بلش يأكلو ويسقيو بكل حنية. كل يوم، كان ياخد الكلب بنزهة طويلة ويلعب معو. شوي شوي، عم بينهن صداقة قوية ما بتنتسى. ,Lebanese
 أريد تذكرتين للقطار ليوم الخميس. فتحت ليلى حقيبتها لتتأكد من وجود المحفظة بها قبل الذهاب لشراء التذاكر. وجدت بين أغراضها صورة قديمة لها وهي طفلة تلعب على الشاطئ. تبسمت للذكريات الجميلة ثم واصلت طريقها إلى المحطة. , بدي تذكرتين للقطار لنهار الخميس. ليلى فتحت شنطتها لتتأكد إذا المحفظة موجودة قبل ما تروح تشتري التذاكر. لقيت صورة قديمة كانت صغيرة وعم تلعب عالشاطئ بين أغراضها. ابتسمت للذكريات الحلوة وكملت طريقها عالمحطة. ,Lebanese
" كان أحمد يبحث عن مقهى لقضاء وقت فراغه. سأل المارة: ""أين المقهى؟"" لكن لم يجبه أحد. وأخيرًا وجد مقهى صغيرًا في زاوية هادئة من الشارع. جلس وطلب كوبا من القهوة واستمتع بالهدوء. "," أحمد كان عم يدور على مقهى ليقضي وقت فراغه. سأل الناس يللي عم تمشي: ""وين المقهى؟"" بس ما حدا رد عليه. آخر شي، لقى مقهى صغيرة بزاوية هادية من الشارع. قعد وطلب فنجان قهوة واستمتع بالهدوء. ",Lebanese
 ذهب محمد إلى السوق ليشتري جاكيت لابنه. وجد واحدًا مناسبًا ولكن كان سعره مرتفعًا. قرر أن يتفاوض مع البائع. وأخيرًا، تمكن من الحصول عليه بسعر معقول. , محمد راح عالسوق يشتري جاكيت لابنو. لقى واحد منيح بس كان غالي. فاوض البياع عالسعر. وبالآخر، أخدو بسعر مناسب. ,Lebanese
" في يومٍ مشمس، سأل الطفل العجوز جالساً على مقعد الحديقة: ""اسمك مرة ثانية؟"" فابتسم العجوز وأجاب بحنان: ""اسمي حسن، وأنت؟"" رد الطفل ببراءة: ""أنا يوسف، وأحب أن أستمع لقصصك."" ومنذ ذلك اليوم، أصبحا صديقين يشاركان القصص والضحكات. "," بيوم مشمس، الصبي سأل العم اللي قاعد على الكرسي بالحديقة: ""شو اسمك مرة تانية؟"" العم ضحك وجاوب بحنية: ""اسمي حسن، وإنت؟"" الصبي رد ببراءة: ""أنا يوسف، وبحب سمع قصصك."" ومن هيديك النهارة، صارو صحاب يتبادلو القصص والضحكات. ",Lebanese
" في يوم مشمس، سألت جارتي أم أحمد عن السيد برون الذي يقطن بجانبنا. ""هل مستر برون هناك؟"" سألتها بفضول. ابتسمت أم أحمد وأجابت أن مستر برون غادر صباحاً لزيارة السوق. ومنذ ذلك الحين، أصبحت أم أحمد تحكي لي قصصاً عن أسفار مستر برون الشيقة. "," بنهار مشمس، سألت جارتي أم أحمد عن السيد برون يلي عايش حدنا. ""هل مستر برون هون؟"" سألتها من الفضول. ضحكت أم أحمد وقلتلي إنو مستر برون راح عالسوق الصبح. ومن بعدها، صارت أم أحمد تحكيلي قصص عن مشاوير مستر برون الممتعة. ",Lebanese
" في يوم مشمس، قررت ليلى شراء كتاب من الإنترنت. حينما استفسرت عن السعر، أخبرها البائع: ""حسنا، إنها تتكلف خمسة وثمانون دولارا في البريد العادي وثلاثة دولارات في التوصيل الخاص"". فضلت ليلى خيار التوصيل الخاص لسرعته. وبعد ثلاثة أيام، استلمت ليلى الكتاب وبدأت في قراءته بحماس. "," بيوم مشمس، ليلى قررت تشتري كتاب من عالإنترنت. لما سألت عن السعر، البيّاع قلّها: ""ماشي، رح يكلفك خمسة وتمانين دولار بالبريد العادي وتلاتة دولار بالتوصيل الخاص"". ليلى فضلت تاخد التوصيل الخاص لأنو أسرع. وبعد تلات أيام، استلمت ليلى الكتاب وبلشت تقرأه بحماسة. ",Lebanese
